127.0.0.1 - - [23/Oct/2016:12:08:26 -0500] "GET / HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:08:31 -0500] "GET /QBServer HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:08:31 -0500] "GET /QBServer/ HTTP/1.1" 200 4199
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:08:31 -0500] "GET /IndexFiles/font-awesome.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:08:31 -0500] "GET /QBServer/IndexFiles/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:08:31 -0500] "GET /QBServer/IndexFiles/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:08:31 -0500] "GET /QBServer/IndexFiles/slick.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:08:31 -0500] "GET /QBServer/IndexFiles/slick-theme.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:08:31 -0500] "GET /QBServer/IndexFiles/jquery.mixitup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:08:31 -0500] "GET /QBServer/IndexFiles/slick.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Oct/2016:12:08:31 -0500] "GET /QBServer/IndexFiles/banner-bg.jpg HTTP/1.1" 304 -
